Name,Region,Area(km2),Population,Density(/km2),latitude,longitude
Ang Mo Kio,North-East,13.94,163950.0,13400.0,1.3700803,103.8495228
Bedok,East,21.69,279380.0,13000.0,1.3239765,103.930216
Bishan,Central,7.62,88010.0,12000.0,1.3509859,103.84825507492937
Boon Lay,West,8.23,30.0,3.6,1.313735,103.70677
Bukit Batok,West,11.13,153740.0,14000.0,1.3490572,103.7495906
Bukit Merah,Central,14.34,151980.0,11000.0,1.2704395,103.82831840176755
Bukit Panjang,West,8.99,139280.0,15000.0,1.380833,103.7625
Bukit Timah,Central,17.53,77430.0,4400.0,1.329411,103.802078
Central Water Catchment,North,37.15,0.0,0.0,1.3757082999999999,103.8017434436911
Changi,East,40.61,1830.0,80.62,1.35107955,103.99006409583149
Changi Bay,East,1.7,0.0,0.0,1.3168496,104.0206494
Choa Chu Kang,West,6.11,190890.0,30000.0,1.3847493,103.7445341
Clementi,West,9.49,92420.0,9800.0,1.3151003,103.7652311
Downtown Core,Central,4.34,2720.0,680.0,1.28747505,103.85603322292744
Geylang,Central,9.64,110200.0,11400.0,1.3181862,103.8870563
Hougang,North-East,13.93,226240.0,16000.0,1.3706821,103.8925450111407
Jurong East,West,17.83,79240.0,4400.0,1.333108,103.7422939
Jurong West,West,14.69,264860.0,18000.0,1.3396365,103.7073387
Kallang,Central,9.17,101520.0,11000.0,1.310759,103.866262
Lim Chu Kang,North,17.3,110.0,5.2,1.4342172,103.7149872
Mandai,North,11.77,2090.0,180.2,1.4235346,103.8033499
Marina East,Central,1.82,0.0,0.0,1.288624,103.869827
Marina South,Central,1.62,0.0,0.0,1.276998,103.8615002
Marine Parade,Central,6.12,46390.0,8000.0,1.3026889,103.9073952
Museum,Central,0.83,420.0,480.0,1.2960522,103.84759915065096
Newton,Central,2.07,8030.0,3800.0,1.31318325,103.83804024301281
North-Eastern Islands,North-East,42.88,50.0,1.2,1.3828816000000002,104.05072579821655
Novena,Central,8.98,49210.0,5600.0,1.3205257000000001,103.84388133927948
Orchard,Central,0.96,990.0,960.3,1.30512,103.832131
Outram,Central,1.37,18960.0,13500.0,1.2828695,103.8378603
Pasir Ris,East,15.02,148020.0,9600.0,1.3730307,103.949255
Paya Lebar,East,11.69,40.0,3.4,1.350399,103.901299
Pioneer,West,12.1,90.0,8.3,1.317788,103.664135
Punggol,North-East,9.34,170560.0,17800.0,1.4052585,103.9023302
Queenstown,Central,20.43,96340.0,4400.0,1.2946226,103.8060366
River Valley,Central,1.48,10250.0,6800.0,1.29758205,103.83651418442432
Rochor,Central,1.62,13340.0,8300.0,1.30326565,103.85242609639883
Seletar,North-East,10.25,250.0,26.3,1.4098488,103.8773789
Sembawang,North,12.34,95920.0,8400.0,1.4490928,103.8200555
Sengkang,North-East,10.59,244600.0,23000.0,1.3916536000000002,103.89536361089395
Serangoon,North-East,10.1,116310.0,11500.0,1.3498624,103.8737292
Simpang,North,5.13,0.0,0.0,1.4452954,103.8497425
Singapore River,Central,0.96,3070.0,3000.0,1.28917835,103.84515431766008
Southern Islands,Central,6.07,1800.0,244.0,1.19918215,103.76024922122228
Straits View,Central,0.77,0.0,0.0,1.2557081,103.86222821751517
Sungei Kadut,North,15.99,780.0,53.2,1.4149971,103.7533106
Tampines,East,20.89,256730.0,12400.0,1.3546528,103.9435712
Tanglin,Central,7.63,21630.0,2800.0,1.3060443,103.8152804
Tengah,West,7.4,10.0,1.4,1.3624531,103.72504010422139
Toa Payoh,Central,8.17,120650.0,14300.0,1.3353906,103.8497414
Tuas,West,30.04,70.0,2.3,1.3293722,103.6482364
Western Islands,West,39.47,10.0,0.25,1.250883,103.68788337164159
Western Water Catchment,West,69.46,720.0,13.0,1.3664522,103.6810305
Woodlands,North,13.59,254730.0,18700.0,1.436897,103.786216
Yishun,North,21.24,220320.0,10100.0,1.4293839,103.8350282
